Brand Manufacturer Calories Protein Fat Sodium Fiber Carbohydrates Sugar Potassium 
Cheerios  G  110  6  2  290  2.0  17.0  1  105  
CocoaPuffs  G  110  1  1  180  0.0  12.0  13  55 
CountChocula  G  110  1  1  180  0.0  12.0  13  65 
GoldenGrahams  G  110  1  1  280  0.0  15.0  9  45 
HoneyNutCheerios  G  110  3  1  250  1.5  11.5  10  90 
Kix  G  110  2  1  260  0.0  21.0  3  40  
LuckyCharms  G  110  2  1  180  0.0  12.0  12  55  
OatmealRaisinCrisp  G  130  3  2  170  1.5  13.5  10  120  
RaisinNutBran  G  100  3  2  140  2.5  10.5  8  140  
TotalRaisinBran  G  140  3  1  190  4.0  15.0  14  230  
TotalWholeGrain  G  100  3  1  200  3.0  16.0  3  110  
Trix  G  110  1  1  140  0.0  13.0  12  25  
AllBran  K  70  4  1  260  9.0  7.0  5  320  
AppleJacks  K  110  2  0  125  1.0  11.0  14  30 
CornFlakes  K  100  2  0  290  1.0  21.0  2  35  
CornPops  K  110  1  0  90  1.0  13.0  12  20  
Crispix  K  110  2  0  220  1.0  21.0  3  30  
FrootLoops  K  110  2  1  125  1.0  11.0  13  30  
FrostedFlakes  K  110  1  0  200  1.0  14.0  11  25  
NutriGrainWheat  K  90  3  0  170  3.0  18.0  2  90  
RaisinBran  K  120  3  1  210  5.0  14.0  12  240  
RiceKrispies  K  110  2  0  290  0.0  22.0  3  35  
Smacks  K  110  2  1  70  1.0  9.0  15  40  
SpecialK  K  110  6  0  230  1.0  16.0  3  55 
CapNCrunch  Q  120  1  2  220  0.0  12.0  12  35  
HoneyGrahamOhs  Q  120  1  2  220  1.0  12.0  11  45  
