FARM_ID,MSRM_DT,AREA_TPRT,AREA_HMDT,AREA_WDSP,INNER_TPRT,INNER_HMDT,INNER_CBDX_CTRN,EXTN_TPRT,PLT_LNGTH,LEAF_LNGTH,LEAF_WDTH,STEM_THNS,PLANT_AR_SQM,SHPMN_QTY,SHPMN_AMT
GBE_KRMLN_002000at,2019-01-01 0:00,-1.9,50,1.6,19.1,87,840.9118735610245,-2.00070545,82.41053771972656,10.416070938110352,10.76170539855957,3.5773959159851074,19800,,
GBE_KRMLN_002000at,2019-01-01 1:00,-3.2,54,1.7,18.8,87,856.6019904000029,-3.072416852,83.06282806396484,10.420402526855469,10.761347770690918,3.5797369480133057,19800,,
GBE_KRMLN_002000at,2019-01-01 2:00,-2.5,62,2.1,18.5,87,871.2986258559756,-2.544091192,81.35883331298828,10.42909049987793,10.738661766052246,3.5614919662475586,19800,,
GBE_KRMLN_002000at,2019-01-01 3:00,-2.5,62,1.6,18.1,87,878.3098893312866,-2.56871898,81.35026550292969,10.426485061645508,10.752950668334961,3.575085401535034,19800,,
GBE_KRMLN_002000at,2019-01-01 4:00,-3.6,67,0.8,17.8,88,893.5203625710942,-3.455160548,83.73605346679688,10.278247833251953,10.847245216369629,3.622403144836426,19800,,
GBE_KRMLN_002000at,2019-01-01 5:00,-2.4,64,1.7,17.6,89,887.1533315330387,-2.52515147,82.26210785,10.44812012,10.938299179077148,3.5163588523864746,19800,,
GBE_KRMLN_002000at,2019-01-01 6:00,-3.3,69,2.3,17.5,89,899.4356629739282,-3.164683461,81.40931701660156,10.225403785705566,10.849327087402344,3.7019870281219482,19800,,
GBE_KRMLN_002000at,2019-01-01 7:00,-2,64,1,17.6,91,883.2286182,-2.107192919,80.98793793,10.452258110046387,11.094139099121094,3.5127315521240234,19800,,
GBE_KRMLN_002000at,2019-01-01 8:00,-2.5,67,0.3,17.6,91,889.4078408421278,-2.394022892,80.97953796386719,10.36369800567627,11.037878036499023,3.594174861907959,19800,,
GBE_KRMLN_002000at,2019-01-01 9:00,-1.3,62,0.8,17.5,96,873.2428745360697,-1.351779996,90.27523040771484,10.470330238342285,10.909887313842773,3.635082721710205,19800,,
GBE_KRMLN_002000at,2019-01-01 10:00,-1,59,2,18.5,97,848.9580032399448,-0.958916853,90.82196044921875,10.413207054138184,10.611140251159668,3.6997570991516113,19800,,
GBE_KRMLN_002000at,2019-01-01 11:00,-0.1,58,1.5,26.8,50,758.5620184191096,-0.050824546,88.41608428955078,9.989011764526367,10.194294929504395,4.028172492980957,19800,,
GBE_KRMLN_002000at,2019-01-01 12:00,1.6,52,1.8,18.9,52,879.7126633023079,1.4739836038633418,92.88645935058594,10.01660442352295,9.881733894348145,3.977626323699951,19800,,
GBE_KRMLN_002000at,2019-01-01 13:00,1.4,50,3,22.5,55,810.5285293,1.4184035357013576,84.60370635986328,9.727116584777832,10.201112747192383,4.233208179473877,19800,,
GBE_KRMLN_002000at,2019-01-01 14:00,1.6,54,2.8,20.4,52,856.3858514315707,1.5936246321901641,88.97809600830078,9.787633895874023,10.02840805053711,4.219521522521973,19800,,
GBE_KRMLN_002000at,2019-01-01 15:00,1.7,52,2.1,17.3,54,904.8716538994861,1.6888914014526697,90.11419677734375,10.044459342956543,10.46528148651123,3.859653949737549,19800,,
GBE_KRMLN_002000at,2019-01-01 16:00,1.7,52,2.5,15.6,100,876.2530514383595,1.6448437735272083,83.37593078613281,11.142158508300781,11.996387481689453,3.860905408859253,19800,,
GBE_KRMLN_002000at,2019-01-01 17:00,0.9,58,1.4,17.3,98,860.6610402546185,0.9090746463072429,94.28704071044922,10.550702095031738,10.78637409210205,3.6623096466064453,19800,,
GBE_KRMLN_002000at,2019-01-01 18:00,0.3,59,2.5,18.3,89,858.1222045434547,0.2871118533967841,83.19348145,10.246803283691406,10.654006958007812,3.590733051300049,19800,,
GBE_KRMLN_002000at,2019-01-01 19:00,-0.6,71,1.3,18,90,883.0192359785032,-0.496482883,82.76172637939453,10.151961326599121,10.590757369995117,3.629145383834839,19800,,
GBE_KRMLN_002000at,2019-01-01 20:00,0.1,59,2.3,17.8,90,866.3087939488561,0.018144173,80.29877471923828,10.267455101013184,10.796485900878906,3.5796096324920654,19800,,
GBE_KRMLN_002000at,2019-01-01 21:00,-0.5,61,1.8,17.5,90,876.6099678289278,-0.493793472,81.9588623,10.477935791015625,10.926115989685059,3.516852855682373,19800,,
GBE_KRMLN_002000at,2019-01-01 22:00,-0.9,59,2.2,17.3,90,878.5350401461769,-0.927894233,81.45362854003906,10.408224105834961,10.949321746826172,3.5354907512664795,19800,,
GBE_KRMLN_002000at,2019-01-01 23:00,-1.7,61,1.8,16.9,89,892.5513865750868,-1.711820238,82.84313965,10.694071769714355,11.062570571899414,3.5276076793670654,19800,,
GBE_KRMLN_002000at,2019-01-02 0:00,-2.7,64,0.8,16.6,89,905.7201403,-2.643985412,81.82181549072266,10.954673767089844,11.48534870147705,3.5640501976013184,19800,,
